,month,edits,editors,blocked_people,%_bl_users,nb_policies
0,2005-01-01,800186,80201,957,1.0,28
1,2005-02-01,789780,75824,1209,2.0,28
2,2005-03-01,1024707,92355,721,1.0,28
3,2005-04-01,1294737,113549,630,1.0,29
4,2005-05-01,1365329,125997,597,0.0,29
5,2005-06-01,1509873,132319,1018,1.0,29
6,2005-07-01,1833491,163967,1591,1.0,29
7,2005-08-01,1982190,186434,1983,1.0,30
8,2005-09-01,1886804,194595,1711,1.0,30
9,2005-10-01,2245908,250711,4164,2.0,30
10,2005-11-01,2367749,267453,4860,2.0,31
11,2005-12-01,3224675,326078,3802,1.0,32
12,2006-01-01,3666973,358761,3110,1.0,33
13,2006-02-01,3552947,350971,2594,1.0,33
14,2006-03-01,4100556,408547,7305,2.0,33
15,2006-04-01,3978774,426257,9499,2.0,33
16,2006-05-01,4569396,484853,7403,2.0,33
17,2006-06-01,4550597,456812,5699,1.0,36
18,2006-07-01,4755618,470193,1987,0.0,37
19,2006-08-01,5362533,520959,781,0.0,37
20,2006-09-01,4918641,550004,3058,1.0,38
21,2006-10-01,5386028,622514,5884,1.0,38
22,2006-11-01,5520566,666608,13101,2.0,38
23,2006-12-01,5557149,649615,11326,2.0,38
24,2007-01-01,6189700,720150,18334,3.0,38
25,2007-02-01,6107526,725463,19730,3.0,38
26,2007-03-01,6721020,805913,21303,3.0,39
27,2007-04-01,6714669,793625,19608,2.0,39
28,2007-05-01,6578922,792197,26081,3.0,39
29,2007-06-01,5857262,672008,15864,2.0,39
30,2007-07-01,5834355,647703,13284,2.0,40
31,2007-08-01,5735126,648449,15532,2.0,40
32,2007-09-01,5756987,701533,20135,3.0,40
33,2007-10-01,6163776,763339,18513,2.0,40
34,2007-11-01,5779307,712306,17514,2.0,41
35,2007-12-01,5653263,656415,13852,2.0,41
36,2008-01-01,6237591,734516,17476,2.0,43
37,2008-02-01,6043675,729544,17722,2.0,43
38,2008-03-01,6688785,776408,18400,2.0,43
39,2008-04-01,6222866,758823,20180,3.0,44
40,2008-05-01,6243021,750175,18821,3.0,45
41,2008-06-01,5850374,658506,12071,2.0,45
42,2008-07-01,5788769,631296,13169,2.0,45
43,2008-08-01,5820122,634845,12002,2.0,45
44,2008-09-01,6099234,693322,16353,2.0,45
45,2008-10-01,6207538,749041,18067,2.0,45
46,2008-11-01,5667200,687427,13773,2.0,45
47,2008-12-01,5568291,643216,14326,2.0,45
48,2009-01-01,5993984,721171,19250,3.0,45
49,2009-02-01,5682029,703978,23670,3.0,45
50,2009-03-01,6325330,742242,23065,3.0,45
51,2009-04-01,5665878,673473,29826,4.0,45
52,2009-05-01,5947735,673606,26847,4.0,46
53,2009-06-01,5485048,614089,26513,4.0,46
54,2009-07-01,5267492,584559,13212,2.0,46
55,2009-08-01,5342963,584506,11017,2.0,47
56,2009-09-01,5419710,612279,12005,2.0,47
57,2009-10-01,5515825,660141,26927,4.0,48
58,2009-11-01,5284771,641883,20886,3.0,48
59,2009-12-01,5818014,603376,22887,4.0,48
60,2010-01-01,5501175,664118,14358,2.0,48
61,2010-02-01,5224376,640224,12599,2.0,49
62,2010-03-01,5684329,678313,15707,2.0,50
63,2010-04-01,5629846,647881,10940,2.0,51
64,2010-05-01,5523827,647272,11849,2.0,51
65,2010-06-01,5323283,572708,12030,2.0,53
66,2010-07-01,4985609,553659,7705,1.0,53
67,2010-08-01,5242443,560560,10694,2.0,53
68,2010-09-01,5417644,575250,16817,3.0,55
69,2010-10-01,5638538,607053,19672,3.0,55
70,2010-11-01,5337936,587437,16745,3.0,55
71,2010-12-01,5010239,558987,11134,2.0,55
72,2011-01-01,5567195,627476,23396,4.0,55
73,2011-02-01,4800487,554686,19375,3.0,55
74,2011-03-01,4852498,561432,24140,4.0,56
75,2011-04-01,4675622,530225,14808,3.0,56
76,2011-05-01,4696440,535183,13323,2.0,56
77,2011-06-01,4816037,509103,16652,3.0,57
78,2011-07-01,4863623,499270,18091,4.0,58
79,2011-08-01,4841851,513910,41570,8.0,58
80,2011-09-01,4815682,507464,44567,9.0,58
81,2011-10-01,4661451,537783,35928,7.0,58
82,2011-11-01,4588185,528067,33571,6.0,58
83,2011-12-01,4830176,500854,17605,4.0,58
84,2012-01-01,5018829,530393,17655,3.0,58
85,2012-02-01,4771789,514946,17426,3.0,58
86,2012-03-01,4889746,520262,19626,4.0,58
87,2012-04-01,4728415,504911,11035,2.0,58
88,2012-05-01,4959645,508831,16493,3.0,58
89,2012-06-01,4393530,459166,14431,3.0,58
90,2012-07-01,4652613,459553,12255,3.0,58
91,2012-08-01,4651845,460011,38230,8.0,58
92,2012-09-01,4843386,452811,58146,13.0,58
93,2012-10-01,4980499,501879,38746,8.0,58
