,month,edits,editors,blocked_people,%_bl_users,nb_policies
94,2012-11-01,4607502,489596,31397,6.0,58
95,2012-12-01,4544587,467075,10975,2.0,58
96,2013-01-01,4877507,503848,20434,4.0,58
97,2013-02-01,5062668,466284,16883,4.0,58
98,2013-03-01,6261482,483349,8362,2.0,58
99,2013-04-01,4541474,469668,12750,3.0,58
100,2013-05-01,4393869,499472,28795,6.0,58
101,2013-06-01,4208463,447664,48623,11.0,58
102,2013-07-01,3995223,425831,59585,14.0,58
103,2013-08-01,4037757,402849,54586,14.0,58
104,2013-09-01,3876414,404460,4926,1.0,58
105,2013-10-01,4108678,460348,95583,21.0,58
106,2013-11-01,3957036,443498,148483,33.0,58
107,2013-12-01,4270787,426944,70689,17.0,58
108,2014-01-01,4412681,458111,31253,7.0,58
109,2014-02-01,3908360,419990,20364,5.0,58
110,2014-03-01,4240054,448080,17221,4.0,58
111,2014-04-01,4042617,421737,17785,4.0,58
112,2014-05-01,4103579,418834,19626,5.0,58
113,2014-06-01,3780680,374554,13739,4.0,58
114,2014-07-01,3962248,368737,6942,2.0,58
115,2014-08-01,3966192,381637,9055,2.0,58
116,2014-09-01,3810187,379932,10055,3.0,58
117,2014-10-01,3890368,406571,21531,5.0,58
118,2014-11-01,3834638,392471,19531,5.0,58
119,2014-12-01,4042966,373579,36882,10.0,58
120,2015-01-01,4307132,400370,65175,16.0,58
121,2015-02-01,3939039,380094,81190,21.0,58
122,2015-03-01,4804505,408450,77738,19.0,58
123,2015-04-01,5420740,419903,41347,10.0,58
124,2015-05-01,4486420,429880,37358,9.0,58
125,2015-06-01,4182075,407556,37299,9.0,58
126,2015-07-01,4287737,412035,32463,8.0,58
127,2015-08-01,4531190,414411,24912,6.0,58
128,2015-09-01,4398118,427677,27949,7.0,58
129,2015-10-01,4573756,446228,26833,6.0,58
130,2015-11-01,4456188,429746,26685,6.0,58
131,2015-12-01,4199796,410989,27474,7.0,58
132,2016-01-01,4714340,458304,46929,10.0,58
133,2016-02-01,4681979,442711,29598,7.0,58
134,2016-03-01,4983730,444783,49708,11.0,58
135,2016-04-01,4757144,430340,27498,6.0,58
136,2016-05-01,4768475,435399,30993,7.0,58
137,2016-06-01,4369052,396159,32741,8.0,58
138,2016-07-01,4410842,391270,35615,9.0,58
139,2016-08-01,4426188,414133,26629,6.0,58
140,2016-09-01,4581636,416848,32170,8.0,58
141,2016-10-01,4902094,435739,47261,11.0,58
142,2016-11-01,4916504,433038,46936,11.0,58
143,2016-12-01,4972012,422147,48668,12.0,58
144,2017-01-01,5019316,456975,65390,14.0,58
145,2017-02-01,4632063,423877,97007,23.0,58
146,2017-03-01,4948622,461515,52903,11.0,58
147,2017-04-01,4589369,424964,41985,10.0,58
148,2017-05-01,4882666,431329,39932,9.0,58
149,2017-06-01,4867458,391041,93915,24.0,58
150,2017-07-01,4659289,397800,56742,14.0,58
151,2017-08-01,4686591,399409,57207,14.0,58
152,2017-09-01,4666223,398494,53489,13.0,58
153,2017-10-01,4696462,436203,62148,14.0,58
154,2017-11-01,4622820,434451,55864,13.0,59
155,2017-12-01,4797589,409054,48360,12.0,59
