month,nb_policies
2005-01,28
2005-02,28
2005-03,28
2005-04,29
2005-05,29
2005-06,29
2005-07,29
2005-08,30
2005-09,30
2005-10,30
2005-11,31
2005-12,32
2006-01,33
2006-02,33
2006-03,33
2006-04,33
2006-05,33
2006-06,36
2006-07,37
2006-08,37
2006-09,38
2006-10,38
2006-11,38
2006-12,38
2007-01,38
2007-02,38
2007-03,39
2007-04,39
2007-05,39
2007-06,39
2007-07,40
2007-08,40
2007-09,40
2007-10,40
2007-11,41
2007-12,41
2008-01,43
2008-02,43
2008-03,43
2008-04,44
2008-05,45
2008-06,45
2008-07,45
2008-08,45
2008-09,45
2008-10,45
2008-11,45
2008-12,45
2009-01,45
2009-02,45
2009-03,45
2009-04,45
2009-05,46
2009-06,46
2009-07,46
2009-08,47
2009-09,47
2009-10,48
2009-11,48
2009-12,48
2010-01,48
2010-02,49
2010-03,50
2010-04,51
2010-05,51
2010-06,53
2010-07,53
2010-08,53
2010-09,55
2010-10,55
2010-11,55
2010-12,55
2011-01,55
2011-02,55
2011-03,56
2011-04,56
2011-05,56
2011-06,57
2011-07,58
2011-08,58
2011-09,58
2011-10,58
2011-11,58
2011-12,58
2012-01,58
2012-02,58
2012-03,58
2012-04,58
2012-05,58
2012-06,58
2012-07,58
2012-08,58
2012-09,58
2012-10,58
2012-11,58
2012-12,58
2013-01,58
2013-02,58
2013-03,58
2013-04,58
2013-05,58
2013-06,58
2013-07,58
2013-08,58
2013-09,58
2013-10,58
2013-11,58
2013-12,58
2014-01,58
2014-02,58
2014-03,58
2014-04,58
2014-05,58
2014-06,58
2014-07,58
2014-08,58
2014-09,58
2014-10,58
2014-11,58
2014-12,58
2015-01,58
2015-02,58
2015-03,58
2015-04,58
2015-05,58
2015-06,58
2015-07,58
2015-08,58
2015-09,58
2015-10,58
2015-11,58
2015-12,58
2016-01,58
2016-02,58
2016-03,58
2016-04,58
2016-05,58
2016-06,58
2016-07,58
2016-08,58
2016-09,58
2016-10,58
2016-11,58
2016-12,58
2017-01,58
2017-02,58
2017-03,58
2017-04,58
2017-05,58
2017-06,58
2017-07,58
2017-08,58
2017-09,58
2017-10,58
2017-11,59
2017-12,59
2018-01,59
2018-02,59
2018-03,59
2018-04,59
2018-05,59
2018-06,59
2018-07,59
2018-08,59
2018-09,59
2018-10,59
2018-11,59
2018-12,59
2019-01,59
2019-02,59
2019-03,59
2019-04,59
2019-05,59
2019-06,59
2019-07,59
2019-08,59
2019-09,59
2019-10,59
2019-11,59
2019-12,59
2020-01,59
2020-02,59
2020-03,59
2020-04,59
2020-05,59
2020-06,59
2020-07,59
2020-08,59
2020-09,59
2020-10,60
2020-11,60
2020-12,60
2021-01,60
2021-02,60
2021-03,60
2021-04,60
2021-05,60
2021-06,60
2021-07,60
2021-08,60
2021-09,60
2021-10,60
2021-11,60
2021-12,60
2022-01,60
2022-02,60
2022-03,60
2022-04,60
2022-05,60
2022-06,60
2022-07,60
2022-08,60
2022-09,60
2022-10,60
2022-11,60
